Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Stevenson, J., Pennington, B. F., Gilger, J. W., DeFries, J. C., & Gillis, J. J. (1993). Hyperactivity and spelling disability: Testing for shared genetic aetiology. Journal of child Psychology and Psychiatry, 34(7), 1137-1152. ","Stevenson, Pennington, Gilger, DeFries & Gillis (1993)",No data,Twin study in London,,Twin study in London,Twin study,DFextremes,922,,,13y,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,WISC,Rutter Scales,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,Hyperactivity & Spelling,Hyperactivity & Spelling,ADHD Traits & Reading Ability,0.29,0.06,,,,,DFAonly
"Stevenson, J., Pennington, B. F., Gilger, J. W., DeFries, J. C., & Gillis, J. J. (1993). Hyperactivity and spelling disability: Testing for shared genetic aetiology. Journal of child Psychology and Psychiatry, 34(7), 1137-1152. ","Stevenson, Pennington, Gilger, DeFries & Gillis (1993)",No data,Colorado Reading Project,,CRP,Twin study,DFextremes,922,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DICA,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,Hyperactivity & Spelling,Hyperactivity & Spelling,ADHD Traits & Reading Ability,0.42,0.05,,,,,DFAonly
"Taylor, M., Charman, T., Robinson, E., Plomin, R., Happé, F., Asherson, P., & Ronald, A. (2013). Developmental associations between Traits of autism spectrum disorder and attention-deficit/hyperactivity disorder: A genetically-informative, longitudinal twin study. Psychological Medicine, 43(08), 1735-1746. ",Taylor et al. (2013),No data,TEDS,,TEDS,Twin study,Classical,10712,,,8y,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.33,0.06,0.99,0.06,0.07,0.04,FULL
"Taylor, M., Charman, T., Robinson, E., Plomin, R., Happé, F., Asherson, P., & Ronald, A. (2013). Developmental associations between Traits of autism spectrum disorder and attention-deficit/hyperactivity disorder: A genetically-informative, longitudinal twin study. Psychological Medicine, 43(08), 1735-1746. ",Taylor et al. (2013),No data,TEDS,,TEDS,Twin study,Classical,10712,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.13,0.05,0.99,0.06,0.16,0.03,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Males,Continuous,ASD & Figurative language,ASD & Language Ability,Autistic Traits & Language Ability,-0.18,0.07,0.71,0.24,0.08,0.04,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Females,Continuous,ASD & Figurative language,ASD & Language Ability,Autistic Traits & Language Ability,-0.1,0.02,0.83,0.16,0.02,0.01,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Males,Continuous,ASD & Pragmatics,ASD & Pragmatics,Autistic Traits & Language Ability,-0.12,0.06,0.99,0.07,0.01,0.003,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Females,Continuous,ASD & Pragmatics,ASD & Pragmatics,Autistic Traits & Language Ability,-0.15,0.05,0.94,0.14,0.01,0.01,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Males,Continuous,ASD & Syntax,ASD & Syntax,Autistic Traits & Language Ability,-0.1,0.04,0.77,0.24,0.02,0.01,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Females,Continuous,ASD & Syntax,ASD & Syntax,Autistic Traits & Language Ability,-0.16,0.08,0.43,0.19,0.04,0.02,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Males,Continuous,ASD & Vocabulary,ASD & Vocabulary,Autistic Traits & Language Ability,-0.18,0.09,0.67,0.25,0.04,0.02,FULL
"Taylor, M. J., Charman, T., Robinson, E. B., Hayiou‐Thomas, M. E., Happé, F., Dale, P. S., & Ronald, A. (2014). Language and Traits of autism spectrum conditions: Evidence of limited phenotypic and etiological overlap. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 165(7), 587-595. ",Taylor et al. (2014),No data,TEDS,,TEDS,Twin study,Classical,9528,,,12y,Adolescence,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,CAST,Test of Language Competence,,,TOAL,WISC,,,Parent,,Age,Sex,,Family,Females,Continuous,ASD & Vocabulary,ASD & Vocabulary,Autistic Traits & Language Ability,-0.13,0.07,0.59,0.15,0.03,0.003,FULL
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & SIs,Hyperactivity & SIs,ADHD Traits & Autistic Traits,0.08,0.02,,,0.02,0.01,BEST
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & SIs,Inattention & SIs,ADHD Traits & Autistic Traits,0.08,0.02,,,0.03,0.01,BEST
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & CIs,Hyperactivity & CIs,ADHD Traits & Autistic Traits,0.5,0.03,,,0.22,0.01,BEST
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & CIs,Inattention & CIs,ADHD Traits & Autistic Traits,0.48,0.02,,,0.19,0.01,BEST
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & RRBIs,Inattention & RRBIs,ADHD Traits & Autistic Traits,0.31,0.03,,,0.11,0.03,BEST
"Taylor, M. J., Charman, T., & Ronald, A. (2015). Where are the strongest associations between autistic Traits and Traits of ADHD? Evidence from a community-based twin study. European child & adolescent psychiatry, 24(9), 1129-1138. ","Taylor, Charman & Ronald (2015)",No data,TEDS,,TEDS,Twin study,Classical,11378,,,12y,Adolescence,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,CAST,Conners,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & RRBIs,Inattention & RRBIs,ADHD Traits & Autistic Traits,0.14,0.02,,,0.03,0.01,BEST
"Tuvblad, C., Zheng, M., Raine, A., & Baker, L. A. (2009). A common genetic factor explains the covariation among ADHD ODD and CD symptoms in 9–10 year old boys and girls. Journal of abnormal child psychology, 37(2), 153-167. ","Tuvblad, Zheng, Raine & Baker (2009)",No data,UoC Twin Study of Risk Factors for Antisocial Behavior,,UoC Twin Study of Risk Factors for Antisocial Behavior,Twin study,Classical,2416,,9.6,9-10y,Middle childhood,USA,California,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,DISC-IV,,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.43,0.1,0.99,0.51,0.1,0.05,FULL
"Tuvblad, C., Zheng, M., Raine, A., & Baker, L. A. (2009). A common genetic factor explains the covariation among ADHD ODD and CD symptoms in 9–10 year old boys and girls. Journal of abnormal child psychology, 37(2), 153-167. ","Tuvblad, Zheng, Raine & Baker (2009)",No data,UoC Twin Study of Risk Factors for Antisocial Behavior,,UoC Twin Study of Risk Factors for Antisocial Behavior,Twin study,Classical,2416,,9.6,9-10y,Middle childhood,USA,California,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,DISC-IV,,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.49,0.16,0.99,0.51,0.3,0.05,FULL
"Tuvblad, C., Zheng, M., Raine, A., & Baker, L. A. (2009). A common genetic factor explains the covariation among ADHD ODD and CD symptoms in 9–10 year old boys and girls. Journal of abnormal child psychology, 37(2), 153-167. ","Tuvblad, Zheng, Raine & Baker (2009)",No data,UoC Twin Study of Risk Factors for Antisocial Behavior,,UoC Twin Study of Risk Factors for Antisocial Behavior,Twin study,Classical,2416,,9.6,9-10y,Middle childhood,USA,California,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,DISC-IV,,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.39,0.15,0.99,0.01,0.09,0.05,FULL
"Tuvblad, C., Zheng, M., Raine, A., & Baker, L. A. (2009). A common genetic factor explains the covariation among ADHD ODD and CD symptoms in 9–10 year old boys and girls. Journal of abnormal child psychology, 37(2), 153-167. ","Tuvblad, Zheng, Raine & Baker (2009)",No data,UoC Twin Study of Risk Factors for Antisocial Behavior,,UoC Twin Study of Risk Factors for Antisocial Behavior,Twin study,Classical,2416,,9.6,9-10y,Middle childhood,USA,California,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,DISC-IV,,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.45,0.18,0.99,0.51,0.3,0.05,FULL
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2015). The Colorado longitudinal twin study of reading difficulties and ADHD: Etiologies of comorbidity and stability. Twin Research and Human Genetics, 18(6), 755-761. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2015)",No data,CLDRC,,CLDRC,Twin study,DFextremes,1534,,11.6,7-20y,Childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DBRS,PIAT,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.6,0.15,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2015). The Colorado longitudinal twin study of reading difficulties and ADHD: Etiologies of comorbidity and stability. Twin Research and Human Genetics, 18(6), 755-761. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2015)",No data,CLDRC,,CLDRC,Twin study,DFextremes,1534,,11.6,7-20y,Childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DBRS,PIAT,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.68,0.33,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2015). The Colorado longitudinal twin study of reading difficulties and ADHD: Etiologies of comorbidity and stability. Twin Research and Human Genetics, 18(6), 755-761. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2015)",No data,CLDRC,,CLDRC,Twin study,DFextremes,1534,,11.6,7-20y,Childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DBRS,PIAT,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.2,0.15,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2015). The Colorado longitudinal twin study of reading difficulties and ADHD: Etiologies of comorbidity and stability. Twin Research and Human Genetics, 18(6), 755-761. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2015)",No data,CLDRC,,CLDRC,Twin study,DFextremes,1534,,11.6,7-20y,Childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,DBRS,PIAT,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.11,0.37,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2016). Genetic etiologies of comorbidity and stability for reading difficulties and ADHD: A replication study. Twin Research and Human Genetics, 19(6), 647-651. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2016)",No data,Longitudinal Twin Study of Early Reading Development,,Longitudinal Twin Study of Early Reading Development,Twin study,DFextremes,172,,,10-15y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,TOWRE,Woodcock-Johnson Word ID and Passage Comprehension,DBRS,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.4,0.3,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2016). Genetic etiologies of comorbidity and stability for reading difficulties and ADHD: A replication study. Twin Research and Human Genetics, 19(6), 647-651. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2016)",No data,Longitudinal Twin Study of Early Reading Development,,Longitudinal Twin Study of Early Reading Development,Twin study,DFextremes,172,,,10-15y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,TOWRE,Woodcock-Johnson Word ID and Passage Comprehension,DBRS,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.33,0.31,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2016). Genetic etiologies of comorbidity and stability for reading difficulties and ADHD: A replication study. Twin Research and Human Genetics, 19(6), 647-651. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2016)",No data,Longitudinal Twin Study of Early Reading Development,,Longitudinal Twin Study of Early Reading Development,Twin study,DFextremes,172,,,10-15y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,TOWRE,Woodcock-Johnson Word ID and Passage Comprehension,DBRS,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.29,0.32,,,,,DFAonly
"Wadsworth, S. J., DeFries, J. C., Willcutt, E. G., Pennington, B. F., & Olson, R. K. (2016). Genetic etiologies of comorbidity and stability for reading difficulties and ADHD: A replication study. Twin Research and Human Genetics, 19(6), 647-651. ","Wadsworth, DeFries, Willcutt, Pennington & Olson (2016)",No data,Longitudinal Twin Study of Early Reading Development,,Longitudinal Twin Study of Early Reading Development,Twin study,DFextremes,172,,,10-15y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,TOWRE,Woodcock-Johnson Word ID and Passage Comprehension,DBRS,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.27,0.34,,,,,DFAonly
"Willcutt, E. G., Betjemann, R. S., McGrath, L. M., Chhabildas, N. A., Olson, R. K., DeFries, J. C., & Pennington, B. F. (2010). Etiology and neuropsychology of comorbidity between RD and ADHD: The case for multiple-deficit models. Cortex, 46(10), 1345-1361. ",Willcutt et al. (2010),No data,CLDRC,,CLDRC,Twin study,Classical,914,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.46,0.06,0.49,0.51,,,BEST
"Willcutt, E. G., Betjemann, R. S., McGrath, L. M., Chhabildas, N. A., Olson, R. K., DeFries, J. C., & Pennington, B. F. (2010). Etiology and neuropsychology of comorbidity between RD and ADHD: The case for multiple-deficit models. Cortex, 46(10), 1345-1361. ",Willcutt et al. (2010),No data,CLDRC,,CLDRC,Twin study,Classical,914,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.24,0.07,0.36,0.51,,,BEST
"Willcutt, E. G., Betjemann, R. S., McGrath, L. M., Chhabildas, N. A., Olson, R. K., DeFries, J. C., & Pennington, B. F. (2010). Etiology and neuropsychology of comorbidity between RD and ADHD: The case for multiple-deficit models. Cortex, 46(10), 1345-1361. ",Willcutt et al. (2010),No data,CLDRC,,CLDRC,Twin study,DFextremes,914,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.74,0.02,,,,,DFAonly
"Willcutt, E. G., Betjemann, R. S., McGrath, L. M., Chhabildas, N. A., Olson, R. K., DeFries, J. C., & Pennington, B. F. (2010). Etiology and neuropsychology of comorbidity between RD and ADHD: The case for multiple-deficit models. Cortex, 46(10), 1345-1361. ",Willcutt et al. (2010),No data,CLDRC,,CLDRC,Twin study,DFextremes,914,,,8-18y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.41,0.04,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,Time-Limited Word Reading Measure,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Word reading & Calculations,Word reading & Calculations,Maths Ability & Reading Ability,0.53,0.03,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,Time-Limited Word Reading Measure,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Word reading & Math fluency,Word reading & Maths Fluency,Maths Ability & Reading Ability,0.46,0.03,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,Time-Limited Word Reading Measure,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Word reading & Word problems,Word reading & Maths Problems,Maths Ability & Reading Ability,0.54,0.03,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Gray Oral Reading Test,TOWRE,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading fluency & Calculations,Reading Fluency & Calculations,Maths Ability & Reading Ability,0.61,0.02,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Gray Oral Reading Test,TOWRE,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading fluency & Math fluency,Reading Fluency & Math Fluency,Maths Ability & Reading Ability,0.71,0.02,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Gray Oral Reading Test,TOWRE,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading fluency & Word problems,Reading Fluency & Maths Problems,Maths Ability & Reading Ability,0.48,0.03,,,,,DFAonly
