Full Ref,Ref,%White,%Hispanic,%AfrAm,%Asian,%Chinese Han,Cohort,Cohort1,Cohort2,Cohort3,Design1,Design2,Individuals,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Broad Trait/Disorder,Trait/Disorder,Categorical/Continuous,Binary/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Covariate4,Design,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,Binary/Continuous,Group,Sex,h2,h2_SE,c2,c2_SE,e2,e2_SE,Model,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,6.07,,Childhood,Australia,,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.83,0.08,0.01,0.07,0.17,0.02,FULL,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,7,,Childhood,Australia,,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.6,0.13,0.15,0.11,0.26,0.03,FULL,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,7.95,,Middle Childhood,Australia,,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.81,0.07,0.01,0.05,0.19,0.03,FULL,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,6.75,,Childhood,"Norway, Sweden",,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.42,0.09,0.45,0.09,0.13,0.02,FULL,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,7.74,,Middle Childhood,"Norway, Sweden",,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.67,0.1,0.12,0.09,0.22,0.03,FULL,,
"Christopher, M. E., Hulslander, J., Byrne, B., Samuelsson, S., Keenan, J. M., Pennington, B., . . . Olson, R. K. (2013). The genetic and environmental etiologies of individual differences in early reading growth in Australia, the United States, and Scandinavia. Journal of Experimental Child Psychology, 115(3), 453-467. ",Christopher et al. (2013),No data,,,,,ILTS,ILTS,,,Twin study,Classical,2990,8.74,,Middle Childhood,"Norway, Sweden",,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,,Family,Nonword Reading,Nonword Reading,Reading Ability,Continuous,,Combined,0.71,0.09,0.02,0.07,0.26,0.04,FULL,,
"Crosbie, J., Arnold, P., Paterson, A., Swanson, J., Dupuis, A., Li, X., . . . Strug, L. (2013). Response inhibition and ADHD traits: correlates and heritability in a community sample. Journal of abnormal child psychology, 41(3), 497-507. ",Crosbie et al. (2013),51,,,,,OSC,Ontario Science Centre (OSC),,,Sibling study,Categorical threshold,7014,,6-18y,Childhood,Canada,Toronto,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.38,0.03,,,,,Aonly,,
"Crosbie, J., Arnold, P., Paterson, A., Swanson, J., Dupuis, A., Li, X., . . . Strug, L. (2013). Response inhibition and ADHD traits: correlates and heritability in a community sample. Journal of abnormal child psychology, 41(3), 497-507. ",Crosbie et al. (2013),51,,,,,OSC,Ontario Science Centre (OSC),,,Sibling study,Categorical threshold,7014,,6-18y,Childhood & Adolescence,Canada,Toronto,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.4,0.03,,,,,Aonly,,
"Crosbie, J., Arnold, P., Paterson, A., Swanson, J., Dupuis, A., Li, X., . . . Strug, L. (2013). Response inhibition and ADHD traits: correlates and heritability in a community sample. Journal of abnormal child psychology, 41(3), 497-507. ",Crosbie et al. (2013),51,,,,,OsS,Ontario Science Centre (OSC),,,Sibling study,Categorical threshold,7014,,6-18y,Childhood & Adolescence,Canada,Toronto,ADHD,ADHD,Continuous,Continuous,SWAN,,,,,,,,Parent,,Age,Sex,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.24,0.03,,,,,Aonly,,
"Dale, P. S., Rice, M. L., Rimfeld, K., & Hayiou-Thomas, M. E. (2018). Grammar clinical marker yields substantial heritability for language impairments in 16-year-old twins. Journal of Speech, Language, and Hearing Research, 61(1), 66-78. ","Dale, Rice, Rimfeld & Hayiou-Thomas (2018)",100,,,,,TEDS,TEDS,,,Twin study,Categorical threshold,810,,16y,Adolescence,UK,England and Wales,Communication Disorder,SLI,Categorical,Binary,GJ-20,,,,,,,,,,Age,Sex,,,Family,Language Disability,Language Ability,SLI,Binary,10%,Combined,0.36,0.16,0.07,0.12,0.58,0.15,FULL,,
"Dale, P. S., Rice, M. L., Rimfeld, K., & Hayiou-Thomas, M. E. (2018). Grammar clinical marker yields substantial heritability for language impairments in 16-year-old twins. Journal of Speech, Language, and Hearing Research, 61(1), 66-78. ","Dale, Rice, Rimfeld & Hayiou-Thomas (2018)",100,,,,,TEDS,TEDS,,,Twin study,Categorical threshold,810,,16y,Adolescence,UK,England and Wales,Communication Disorder,SLI,Categorical,Binary,GJ-20,,,,,,,,,,Age,Sex,,,Family,Language Disability,Language Ability,SLI,Binary,7%,Combined,0.47,0.21,0.2,0.16,0.33,0.11,FULL,,
"Dale, P. S., Rice, M. L., Rimfeld, K., & Hayiou-Thomas, M. E. (2018). Grammar clinical marker yields substantial heritability for language impairments in 16-year-old twins. Journal of Speech, Language, and Hearing Research, 61(1), 66-78. ","Dale, Rice, Rimfeld & Hayiou-Thomas (2018)",100,,,,,TEDS,TEDS,,,Twin study,Categorical threshold,810,,16y,Adolescence,UK,England and Wales,Communication Disorder,SLI,Categorical,Binary,GJ-20,,,,,,,,,,Age,Sex,,,Family,Language Disability,Language Ability,SLI,Binary,5%,Combined,0.74,0.24,0.01,0.17,0.26,0.18,FULL,,
"Daucourt, M. C., Haughbrook, R., Van Bergen, E., & Hart, S. A. (2020). The association of parent-reported executive functioning, reading, and math is explained by nature, not nurture. Developmental Psychology. ","Daucourt, Haughbrook, Van Bergen & Hart (2020)",56,1,23,4,,FTPRBE,"Florida Twin Project on Reading, Behavior, and Environment (FTPRBE)",,,Twin study,Classical,868,12.12,6-17y,Childhood & Adolescence,USA,Florida,SLD,Dyslexia,Continuous,Continuous,FCAT,,,,,,,,,,Age,Sex,,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.42,0.09,0.4,0.16,0.19,0.03,FULL,,
"Daucourt, M. C., Haughbrook, R., Van Bergen, E., & Hart, S. A. (2020). The association of parent-reported executive functioning, reading, and math is explained by nature, not nurture. Developmental Psychology. ","Daucourt, Haughbrook, Van Bergen & Hart (2020)",56,1,23,4,,FTPRBE,"Florida Twin Project on Reading, Behavior, and Environment (FTPRBE)",,,Twin study,Classical,868,12.12,6-17y,Childhood & Adolescence,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Gates MacGinitie reading comprehension test,,,,,,,,,,Age,Sex,,,Family,Reading comprehension ,Reading Comprehension,Reading Ability,Continuous,,Combined,0.35,0.17,0.35,0.14,0.31,0.07,FULL,,
"Daucourt, M. C., Haughbrook, R., Van Bergen, E., & Hart, S. A. (2020). The association of parent-reported executive functioning, reading, and math is explained by nature, not nurture. Developmental Psychology. ","Daucourt, Haughbrook, Van Bergen & Hart (2020)",56,1,23,4,,FTPRBE,"Florida Twin Project on Reading, Behavior, and Environment (FTPRBE)",,,Twin study,Classical,868,12.12,6-17y,Childhood & Adolescence,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Test of Silent Reading Efficiency and Comprehension,,,,,,,,,,Age,Sex,,,Family,Reading comprehension ,Reading Comprehension,Reading Ability,Continuous,,Combined,0.44,0.13,0.38,0.14,0.18,0.04,FULL,,
"Daucourt, M. C., Haughbrook, R., Van Bergen, E., & Hart, S. A. (2020). The association of parent-reported executive functioning, reading, and math is explained by nature, not nurture. Developmental Psychology. ","Daucourt, Haughbrook, Van Bergen & Hart (2020)",56,1,23,4,,FTPRBE,"Florida Twin Project on Reading, Behavior, and Environment (FTPRBE)",,,Twin study,Classical,868,12.12,6-17y,Childhood & Adolescence,USA,Florida,SLD,Dyscalculia,Continuous,Continuous,Woodcock Johnson-III Tests of Achievement,,,,,,,,,,Age,Sex,,,Family,Maths fluency,Maths Fluency,Maths Ability,Continuous,,Combined,0.53,0.13,0.28,0.13,0.22,0.04,FULL,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Males,0.82,0.01,,,0.18,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Females,0.84,0.01,,,0.16,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Males,0.86,0.01,,,0.14,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Females,0.94,0.004,,,0.06,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Inattention,ADHD Traits,Continuous,,Males,0.77,0.01,,,0.23,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Inattention,ADHD Traits,Continuous,,Females,0.92,0.01,,,0.08,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Inattention,ADHD Traits,Continuous,,Males,0.9,0.01,,,0.1,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Inattention,ADHD Traits,Continuous,,Females,0.94,0.004,,,0.06,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Males,0.98,0.001,,,0.02,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,7y,Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Females,0.8,0.01,,,0.2,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Males,0.82,0.01,,,0.18,0.03,BEST,,
"de Zeeuw, E. L., van Beijsterveldt, C. E. M., Ehli, E. A., de Geus, E. J. C., & Boomsma, D. I. (2017). Attention Deficit Hyperactivity Disorder Symptoms and Low Educational Achievement: Evidence Supporting A Causal Hypothesis. Behavior Genetics, 47(3), 278-289. doi:10.1007/s10519-017-9836-4","de Zeeuw, van Beijsterveldt, Ehli, de Geus & Boomsma (2017)",No data,,,,,NTR,NTR,,,Twin study,Classical,8236,,12y,Adolescence,Netherlands,,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Not used,,,,Family,ADHD,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Females,0.76,0.01,,,0.24,0.03,BEST,,
"DeFries, J. C., Fulker, D. W., & LaBuda, M. C. (1987). Evidence for a genetic aetiology in reading disability of twins. Nature, 329(6139), 537-539. ","DeFries, Fulker & LaBuda (1987)",No data,,,,,CRP,Colorado Reading Project,,,Twin study,DFextremes,238,12.7,,Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,WISC-R,WAIS-R,Colorado Perceptual Speed Tes,,,,,,,IQ,,,,Family,Reading disability,Reading Ability,Reading Ability,Continuous,,Combined,0.29,0.1,,,,,DFAonly,,
"Dionne, G., Touchette, E., Forget-Dubois, N., Petit, D., Tremblay, R. E., Montplaisir, J. Y., & Boivin, M. (2011). Associations between sleep-wake consolidation and language development in early childhood: a longitudinal twin study. Sleep, 34(8), 987-995. ",Dionne et al. (2011),91,,,,,QNTS,Quebec Newborn Twin Study (QNTS) ,,,Twin study,Classical,1029,,5y,Childhood,Canada,,Communication Disorder,SLI,Continuous,Continuous,PPVT,,,,,,,,,,Sex,Birth weight,Gestation duration,Apgar score Days spent in hospital after birth Difficult temperament,Family,Language ability,Language Ability,Language Ability,Continuous,,Combined,0.21,0.1,0.51,0.08,0.28,0.03,FULL,,
"Do, E. K., Haberstick, B. C., Williams, R. B., Lessem, J. M., Smolen, A., Siegler, I. C., & Fuemmeler, B. F. (2019). The role of genetic and environmental influences on the association between childhood ADHD symptoms and BMI. International Journal of Obesity, 43(1), 33-42. ",Do et al. (2019),69,,23,8,,Add Health,Add Health,,,Twin and sibling study,Classical,2520,,5-12y,Childhood & Adolescence,USA,,ADHD,ADHD,Continuous,Continuous,DSM-4,,,,,,,,Self,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Males,0.4,0.06,,,0.6,0.06,BEST,,
"Do, E. K., Haberstick, B. C., Williams, R. B., Lessem, J. M., Smolen, A., Siegler, I. C., & Fuemmeler, B. F. (2019). The role of genetic and environmental influences on the association between childhood ADHD symptoms and BMI. International Journal of Obesity, 43(1), 33-42. ",Do et al. (2019),69,,23,8,,Add Health,Add Health,,,Twin and sibling study,Classical,2520,,5-12y,Childhood & Adolescence,USA,,ADHD,ADHD,Continuous,Continuous,DSM-5,,,,,,,,Self,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Females,0.21,0.07,,,0.79,0.07,BEST,,
"Dworzynski, K., Remington, A., Rijsdijk, F., Howell, P., & Plomin, R. (2007). Genetic etiology in cases of recovered and persistent stuttering in an unselected, longitudinal sample of young twins. ","Dworzynski, Remington, Rijsdijk, Howell & Plomin (2007)",100,,,,,TEDS,TEDS,,,Twin study,Categorical threshold,14828,,4y,Childhood,UK,England and Wales,Communication Disorder,Communication Disorder,Categorical,Binary,Parent report of stuttering,,,,,,,,Parent,,Not used,,,,Family,Stuttering,Stuttering,Communication Disorder,Binary,,Combined,0.65,0.05,,,0.35,0.05,BEST,,
"Dworzynski, K., Remington, A., Rijsdijk, F., Howell, P., & Plomin, R. (2007). Genetic etiology in cases of recovered and persistent stuttering in an unselected, longitudinal sample of young twins. ","Dworzynski, Remington, Rijsdijk, Howell & Plomin (2007)",100,,,,,TEDS,TEDS,,,Twin study,Categorical threshold,14828,,7y,Childhood,UK,England and Wales,Communication Disorder,Communication Disorder,Categorical,Binary,Parent report of stuttering,,,,,,,,Parent,,Not used,,,,Family,Stuttering,Stuttering,Communication Disorder,Binary,,Combined,0.66,0.07,,,0.34,0.07,BEST,,
"Eilertsen, E. M., Gjerde, L. C., Kendler, K. S., Røysamb, E., Aggen, S. H., Gustavson, K., . . . Ystrøm, E. (2018). Development of ADHD symptoms in preschool children: Genetic and environmental contributions. Development and psychopathology. ",Eilertsen et al. (2018),No data,,,,,MoBa,MoBa,,,Twin and sibling study,Classical,19310,,5y,Childhood,Norway,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.54,0.01,0.08,0.01,0.38,0.01,FULL,,
"Erbeli, F., Hart, S. A., & Taylor, J. (2018). Longitudinal associations among reading‐related skills and reading comprehension: A twin study. Child development, 89(6), e480-e493. ","Erbeli, Hart & Taylor (2018)",50,0.1,23,1,,FTP-R,Florida Twin Project on Reading (FTP-R),,,Twin study,Classical,1448,6.3,,Childhood,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Letter Naming Fluency,,,,,,,,,,Age,Sex,SES,,Family,Letter Naming Fluency,Reading Fluency,Reading Ability,Continuous,,Combined,0.44,0.13,0.23,0.09,0.33,0.04,FULL,,
"Erbeli, F., Hart, S. A., & Taylor, J. (2018). Longitudinal associations among reading‐related skills and reading comprehension: A twin study. Child development, 89(6), e480-e493. ","Erbeli, Hart & Taylor (2018)",50,0.1,23,1,,FTP-R,Florida Twin Project on Reading (FTP-R),,,Twin study,Classical,1448,6.3,,Childhood,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Phoneme Segmentation Fluency,,,,,,,,,,Age,Sex,SES,,Family,Phoneme Segmentation Fluency,Phonological Skills,Reading Ability,Continuous,,Combined,0.44,0.13,0.11,0.08,0.45,0.05,FULL,,
"Erbeli, F., Hart, S. A., & Taylor, J. (2018). Longitudinal associations among reading‐related skills and reading comprehension: A twin study. Child development, 89(6), e480-e493. ","Erbeli, Hart & Taylor (2018)",50,0.1,23,1,,FTP-R,Florida Twin Project on Reading (FTP-R),,,Twin study,Classical,1448,7.4,,Childhood,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Nonsense Word Fluency,,,,,,,,,,Age,Sex,SES,,Family,Nonsense Word Fluency,Reading Fluency,Reading Ability,Continuous,,Combined,0.47,0.12,0.15,0.09,0.38,0.04,FULL,,
"Erbeli, F., Hart, S. A., & Taylor, J. (2018). Longitudinal associations among reading‐related skills and reading comprehension: A twin study. Child development, 89(6), e480-e493. ","Erbeli, Hart & Taylor (2018)",50,0.1,23,1,,FTP-R,Florida Twin Project on Reading (FTP-R),,,Twin study,Classical,1448,7.4,,Childhood,USA,Florida,SLD,Dyslexia,Continuous,Continuous,Oral Reading Fluency,,,,,,,,,,Age,Sex,SES,,Family,Oral Reading Fluency,Reading Fluency,Reading Ability,Continuous,,Combined,0.5,0.09,0.22,0.05,0.28,0.03,FULL,,
"Erbeli, F., Hart, S. A., & Taylor, J. (2018). Longitudinal associations among reading‐related skills and reading comprehension: A twin study. Child development, 89(6), e480-e493. ","Erbeli, Hart & Taylor (2018)",50,0.1,23,1,,FTP-R,Florida Twin Project on Reading (FTP-R),,,Twin study,Classical,1448,13.5,,Adolescence,USA,Florida,SLD,Dyslexia,Continuous,Continuous,FCAT,,,,,,,,,,Age,Sex,SES,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.46,0.08,0.31,0.08,0.23,0.02,FULL,,
"Fedko, I. O., Wesseldijk, L. W., Nivard, M. G., Hottenga, J.-J., van Beijsterveldt, C. E., Middeldorp, C. M., . . . Boomsma, D. I. (2017). Heritability of behavioral problems in 7-year olds based on shared and unique aspects of parental views. Behavior Genetics, 47(2), 152-163. ",Fedko et al. (2017),No data,,,,,NTR,NTR,,,Twin study,Categorical threshold,24620,7.45,,Middle Childhood,Netherlands,,ADHD,ADHD,Categorical,Binary,CBCL,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD ,Binary,,Combined,0.79,0.003,,,0.21,0.01,BEST,,
"Fedko, I. O., Wesseldijk, L. W., Nivard, M. G., Hottenga, J.-J., van Beijsterveldt, C. E., Middeldorp, C. M., . . . Boomsma, D. I. (2017). Heritability of behavioral problems in 7-year olds based on shared and unique aspects of parental views. Behavior Genetics, 47(2), 152-163. ",Fedko et al. (2017),No data,,,,,NTR,NTR,,,Twin study,Categorical threshold,24620,7.45,,Middle Childhood,Netherlands,,ADHD,ADHD,Categorical,Binary,CBCL,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD ,Binary,,Combined,0.81,0.003,,,0.19,0.01,BEST,,
"Friend, A., DeFries, J. C., Olson, R. K., Pennington, B., Harlaar, N., Byrne, B., . . . Corley, R. (2009). Heritability of high reading ability and its interaction with parental education. Behavior Genetics, 39(4), 427-436. ",Friend et al. (2009),No data,,,,,Colorado Twin Register,Colorado Twin Register,,,Twin study,DFextremes,228,6.3,,Childhood,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Not used,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.72,0.08,0.01,0.05,0.28,0.04,DFFULL,,
"Friend, A., DeFries, J. C., Olson, R. K., Pennington, B., Harlaar, N., Byrne, B., . . . Corley, R. (2009). Heritability of high reading ability and its interaction with parental education. Behavior Genetics, 39(4), 427-436. ",Friend et al. (2009),No data,,,,,Colorado Twin Register,Colorado Twin Register,,,Twin study,DFextremes,228,7.5,,Middle Childhood,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,TOWRE,,,,,,,,,,Not used,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.72,0.09,0.04,0.05,0.24,0.04,DFFULL,,
